"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/2021","AQS","270031002","3","23.4","ug/m3 LC","75","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/07/2021","AQS","270031002","3","22.4","ug/m3 LC","73","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/08/2021","AQS","270031002","3","15.8","ug/m3 LC","59","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/09/2021","AQS","270031002","3","17.9","ug/m3 LC","63","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/10/2021","AQS","270031002","3","15","ug/m3 LC","57","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/11/2021","AQS","270031002","3","4.6","ug/m3 LC","19","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/12/2021","AQS","270031002","3","10","ug/m3 LC","42","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/13/2021","AQS","270031002","3","10.7","ug/m3 LC","45","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/14/2021","AQS","270031002","3","17.4","ug/m3 LC","62","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/15/2021","AQS","270031002","3","5.2","ug/m3 LC","22","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/16/2021","AQS","270031002","3","2.8","ug/m3 LC","12","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/17/2021","AQS","270031002","3","4.8","ug/m3 LC","20","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/18/2021","AQS","270031002","3","4.7","ug/m3 LC","20","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/19/2021","AQS","270031002","3","4.1","ug/m3 LC","17","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/20/2021","AQS","270031002","3","4.2","ug/m3 LC","18","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/21/2021","AQS","270031002","3","1.3","ug/m3 LC","5","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/22/2021","AQS","270031002","3","4.7","ug/m3 LC","20","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/23/2021","AQS","270031002","3","7.6","ug/m3 LC","32","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/24/2021","AQS","270031002","3","8","ug/m3 LC","33","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/25/2021","AQS","270031002","3","2.9","ug/m3 LC","12","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
"01/26/2021","AQS","270031002","3","2.9","ug/m3 LC","12","Anoka County Airport","1","100.0000","88101","PM2.5 - Local Conditions","33460","Minneapolis-St. Paul-Bloomington, MN-WI","27","Minnesota","003","Anoka","45.1376795361548","-93.207614975211"
